| **Título**                                                    | **Descripción**                                                                                                                                          | **Notas**                                                                                         |
|--------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------|
| Perceived snakebite risk (perceived risk)                    | Comentarios sobre si el individuo siente que está en riesgo de mordedura de serpiente en su comunidad.                                                   | Ver códigos hijo: no percibe riesgo, en el campo, en el hogar, ambos, ubicación: otra.           |
| Perceived snakebite risk (no perceived risk)                 | El individuo no percibe riesgo de mordedura.                                                                                                              | Código hijo del anterior.                                                                        |
| Perceived snakebite risk in the field                        | El riesgo es percibido y se considera mayor en el campo.                                                                                                  | Código hijo.                                                                                      |
| Perceived snakebite risk in the home                         | El riesgo es percibido y se considera mayor en el hogar.                                                                                                  | Código hijo.                                                                                      |
| Perceived snakebite risk in the field and at home            | El riesgo es percibido igual en el hogar y en el campo.                                                                                                   | Código hijo.                                                                                      |
| Perceived snakebite risk (location: other)                   | El riesgo es percibido en una ubicación distinta al campo o el hogar.                                                                                     | Código hijo.                                                                                      |
| Prevention knowledge (accurate)                              | Conocimiento apropiado sobre cómo prevenir mordeduras. Ej.: linterna, botas, limpieza.                                                                   | Ver códigos hijo: untested, inaccurate, no knowledge, misunderstanding.                           |
| Prevention knowledge (other)                                 | Respuesta no validada o desconocida. Ej.: Criolina.                                                                                                       | Código hijo de "accurate".                                                                       |
| Prevention knowledge (inaccurate)                            | Conocimiento inapropiado para prevenir mordeduras.                                                                                                        | Código hijo.                                                                                      |
| Prevention knowledge (no knowledge)                          | El participante indica no saber cómo prevenir mordeduras.                                                                                                 | Código hijo.                                                                                      |
| Prevention knowledge (misunderstanding of prevention)        | El participante confunde prevención con tratamiento.                                                                                                      | Código hijo.                                                                                      |
| Treatment knowledge (accurate)                               | Conocimiento apropiado sobre qué hacer después de una mordedura.                                                                                          |                                                                                                   |
| Treatment knowledge (inaccurate)                             | Conocimiento inapropiado sobre tratamiento posterior a una mordedura.                                                                                     |                                                                                                   |
| Healthcare service logistics (positive)                      | Opinión positiva sobre el proceso para recibir atención médica.                                                                                           | Ver códigos hijo: neutral, negative.                                                              |
| Healthcare service logistics (neutral)                       | Opinión neutral sobre el proceso.                                                                                                                         | Código hijo.                                                                                      |
| Healthcare service logistics (negative)                      | Opinión negativa sobre el proceso.                                                                                                                        | Código hijo.                                                                                      |
| Healthcare system trust (mistrust in hospital in Carmen)     | Desconfianza hacia el hospital de El Carmen de Apicalá.                                                                                                   | Ver códigos hijo: general, trust, mistrust/trust in/outside.                                     |
| Healthcare system trust (general)                            | Confianza general en el sistema de salud para tratar mordeduras.                                                                                          | Código hijo.                                                                                      |
| Healthcare system trust (trust in hospital in Carmen)        | Confianza específica en el hospital de El Carmen.                                                                                                         | Código hijo.                                                                                      |
| Healthcare system trust (mistrust in hospitals outside)      | Desconfianza hacia hospitales fuera de El Carmen.                                                                                                         | Código hijo.                                                                                      |
| Healthcare system trust (trust in hospitals outside)         | Confianza hacia hospitales fuera de El Carmen.                                                                                                            | Código hijo.                                                                                      |
| Access to healthcare (accessible)                            | El participante considera que puede acceder a servicios de salud.                                                                                         |                                                                                                   |
| Access to healthcare (inaccessible)                          | El participante considera que no puede acceder a servicios de salud.                                                                                      |                                                                                                   |
| Snake identification knowledge (accurate)                    | Capacidad apropiada para identificar especies de serpientes.                                                                                              | Ver códigos hijo: inaccurate, no knowledge, unknown.                                              |
| Snake identification knowledge (inaccurate)                  | Incapacidad para identificar correctamente especies de serpientes.                                                                                        | Código hijo.                                                                                      |
| Snake identification knowledge (no knowledge)                | No tiene conocimiento sobre identificación de serpientes.                                                                                                 | Código hijo.                                                                                      |
| Snake identification knowledge (unknown)                     | Conocimiento local con nombres propios, puede ser preciso o no.                                                                                           | Código hijo.                                                                                      |
| Snakebite experience                                         | Experiencia propia o de conocidos con mordeduras.                                                                                                         | Ver código hijo: mortality experience.                                                            |
| Snakebite mortality experience                               | Experiencia con mordedura que resultó en fallecimiento.                                                                                                   | Código hijo.                                                                                      |
| Doubt                                                        | Se percibe duda en la respuesta del participante.                                                                                                         |                                                                                                   |
| Misunderstanding of the question                             | El participante parece haber malinterpretado la pregunta.                                                                                                 |                                                                                                   |
